HEIGHT,PCT_TREE,NDVI_DELTA,NPP,PRECIP_ANN,TEMP_MEAN,TEMP_SDEV,PRECIP_CV,CTI,ELEV,LC_TYPE,X,Y,NCBD_30M
22,54,0.06775,5064,554,1,7527,18,294,2271,1,-114.481754804507,45.5954383470275,119
20,63,0.01937,5344,529,1,7927,14,216,3149,1,-106.541292935005,39.5757348023567,104
24,57,0.04577,5675,654,1,7359,16,440,3082,1,-105.632196701459,40.3011225078379,73
0,1,0.04603,54498,770,1,5289,62,286,3503,10,-118.444667359798,36.6218231347012,0
17,17,0.03848,1825,723,2,7439,27,378,2574,10,-110.348155672364,46.1062556965845,138
11,4,0.10814,2996,620,2,8594,16,533,2329,10,-110.786736855304,44.8854763606926,100
19,69,0.03233,4320,570,2,7683,28,324,2570,1,-107.890968963325,44.9079142897679,149
23,56,0.04933,4536,733,2,7023,33,147,2137,1,-117.16026491053,45.2642941793557,80
18,47,0.16195,4615,641,2,8849,18,341,2271,1,-110.94092635066,44.6731792781979,97
22,51,0.03502,4946,729,2,7737,22,245,3194,1,-106.781462699854,37.8139833501777,115
23,65,0.01543,5060,422,2,7711,31,310,2431,1,-113.226241412629,45.5342229856845,120
21,58,0.03422,5271,458,2,7562,27,392,2332,1,-113.50528583784,45.8993014180454,85
21,45,-0.00469,5441,527,2,7853,14,284,3153,1,-106.362547601064,39.540059205842,133
10,3,0.07226,1534,381,3,8649,13,346,2482,10,-110.407543394902,42.598475345681,12
17,10,0.02464,1534,644,3,7176,20,351,3314,7,-112.397464443174,38.3738244422251,22
0,3,0.08639,1989,457,3,7524,28,307,2690,10,-109.000138299637,43.6477120578351,0
18,20,-0.00985,2190,524,3,8061,14,493,2521,10,-110.064231395488,44.1128249869179,45
16,15,0.05201,2352,748,3,7327,20,205,2144,10,-113.621074374712,47.7918711511522,44
21,45,0.107,2683,460,3,8251,19,435,2609,1,-113.816906762188,43.6532234897355,96
16,19,0.00601,2950,679,3,8549,17,696,2362,10,-111.359254622996,45.0796598223688,126
20,15,0.09755,3175,644,3,8902,22,256,2213,14,-111.500302794087,44.7365615994055,73
0,54,0.06258,3349,519,3,8100,31,400,2467,8,-114.707915646004,43.6515533896003,80
0,49,0.03903,3349,475,3,8148,23,235,2222,1,-114.740235954677,44.2934769370826,66
0,27,0.07481,3364,756,3,7172,28,344,2223,1,-115.824676678206,45.3311571885228,76
18,24,0.0543,3624,532,3,7431,25,374,2326,1,-113.006134541717,46.4389234428334,101
21,45,0.02103,3771,499,3,7396,26,312,2682,1,-109.292731693695,44.0907200419665,40
20,42,0.10825,3771,501,3,8475,17,231,2324,1,-110.526588661313,43.2247667943442,88
0,9,0.02264,3980,724,3,7293,31,465,2175,1,-115.824722580454,45.0220623794533,87
23,54,0.15273,4064,589,3,8482,19,230,2432,1,-111.341116477885,43.6715906398389,152
21,46,0.00279,4192,592,3,7804,8,212,2963,1,-106.651029015833,40.5327777900414,113
21,54,0.00192,4285,500,3,8159,27,224,2285,1,-114.892334917199,44.1884622559023,79
20,29,0.0303,55184,495,3,7403,27,179,2665,1,-109.219954961158,44.0423749762264,161
19,7,0.10087,1730,397,4,8408,21,248,2499,10,-113.479790867224,44.0444097783446,0
11,3,0.02486,1757,384,4,8604,12,414,2476,10,-110.378743811945,42.6960920231069,0
14,4,0.05584,2828,632,4,8055,24,328,3114,10,-107.175262278843,37.8624613746203,36
20,57,0.04866,3958,516,4,8144,32,292,2435,1,-114.826617927091,43.8225566495415,90
21,65,0.00551,5089,581,4,7866,9,307,3030,1,-106.639880012232,40.4467135151521,120
24,65,-0.01907,5239,534,4,7361,20,255,2262,1,-113.878936660057,46.2916143848159,138
23,67,0.03763,5255,547,4,8136,21,313,2434,1,-111.973510465895,45.1448959296298,108
21,60,0.09305,5385,536,4,7574,29,349,2352,1,-112.529878914046,46.3275935436692,104
20,43,-0.03375,5523,550,4,7865,12,234,3030,1,-106.202928941609,39.8584304741652,142
0,1,0.05341,20455,785,4,5292,64,287,3479,16,-118.542081366633,36.5880513572938,0
0,3,0.02601,1684,382,5,8626,13,388,2460,10,-110.385235018918,42.7144468918844,0
